X,Y,Z
-2588.09423943591,263.800242732266,-256.916004757901
-2697.57508248102,420.228820486022,141.734026660795
-3939.15969626586,318.937665072886,-118.26517904821
806.624526775099,321.530792400596,-283.651025070759
2215.33209763938,97.7058633389306,-280.705584803122
-843.854487636523,-277.554922291578,500
2732.81245393412,-346.408361525829,-352.886108151902
5000,-472.318119184751,-258.403555236408
5000,273.505296679324,-144.677940130256
5000,260.638630130799,-45.5355334223004
3660.68808804375,-338.712686789317,500
5000,-123.595139885209,-413.21077078022
