X,Y,Z
-5000,-460.898289390296,-273.23245049489
-5000,-192.583780408597,50.2861991895686
-5000,-143.414420351492,218.690227529327
-5000,-31.8043625940113,-200.10393428969
-5000,-24.3939133305471,-161.974770248318
-5000,-14.0725596141766,281.931898702774
-5000,-10.9123393011085,138.872240038616
-5000,85.6463529482064,-446.561220389142
-5000,270.675162840378,-248.900081210053
-5000,300.316348054142,115.435676374726
-5000,307.50626190705,-131.057049605648
-4850.28126750738,82.5010658474648,-222.18011252894
-4467.83177333225,246.977030225627,3.06238206404549
-4320.97782889831,-411.653921511031,368.315645023836
-4173.94384524883,33.2672984059111,500
-3571.27624542796,181.81815690851,361.831173792362
-3512.12594512394,-404.979103320158,500
-3511.51171165783,-474.333842855282,-463.533330394968
-3146.96746839665,225.856272683375,291.56159429546
-3079.42375967721,104.273670959877,500
-2678.97911623744,295.087071499692,-78.7997608836554
-2599.08594733317,251.652420635587,359.197054551838
-2129.21351112502,-106.724183165754,-366.358988906297
-1977.25732408147,66.8052381259813,-477.030271691909
-1838.56689459812,294.257902005536,-367.771364687737
-1779.52317608205,-232.026520024825,339.790039270438
-1767.0938703176,265.608771579383,-500
-1537.93061123045,-500,398.703158402811
-1028.3713146442,-236.936150294581,-334.043480856211
-787.781102731041,-435.217931966297,-500
-568.823774163553,-394.401820150427,-168.577848702974
-432.469545625651,360.992158632394,471.374228106842
-134.813541478156,-364.233142148315,427.977499036112
74.4923033113464,-195.552670819329,257.81445243288
546.17566633094,-500,-275.882596484106
621.587310787169,-500,411.795323271371
1319.672058946,500,-292.919257117071
1570.02897422356,285.388425939953,66.2105465060182
1879.39697294925,314.745567026607,-55.6435126372199
1890.0050389208,351.530906345968,48.4670910637461
2637.2097979401,450.300306673203,86.8814599264067
2677.83036353717,35.3271229399666,268.103692349086
2804.23899723811,-500,98.5069701618498
3061.45554268653,430.743809973119,-6.82452456142613
3086.14091355992,-119.195940929906,-324.34062977212
3092.13444207282,280.552107085691,-65.0355561569352
3959.59822010861,-500,-114.664350356616
3977.58135981847,359.25898652865,-115.227055308326
4430.2932292045,-249.743104160598,125.407235577456
