X,Y,Z
-337.119122805609,-4694.65516508342,3967.32057366848
-2499.66714527227,-4677.41226432862,-3842.98260498987
-3426.45917816233,-5000,-4884.93993835393
-3605.47101992416,-4152.45454528847,692.569672330724
-2483.39752786214,-4066.21125355775,-4015.92273037563
-1558.37167667412,-4567.34509022482,2994.96538491327
-2524.18638177167,-4309.12018384298,92.9776044016462
-2520.22920639355,-4593.9107173629,-2789.43457736672
-3485.9825070119,-1935.54048003478,-2931.73384790774
-759.049103205538,-3308.26191366606,1520.79841217019
-4778.60000563849,-5000,-1494.68012704236
-3052.51274483836,-4340.69143386373,3699.06174568995
-646.677960123347,-4404.32707824943,2419.94434435375
-1497.00732366556,-3996.37334061972,1135.33399657542
-4270.0171209558,-3898.40520002173,-2002.07012722856
-2576.92489156017,-3456.76012690378,1835.03092185925
-4102.34949606856,-2841.41616101726,3433.53825557183
-4040.0246999422,-3964.39042857365,-34.9576720364012
-4573.14946376295,-2163.19389376176,-3710.10735315639
-3419.62099703407,-3553.43041143183,2744.81331658726
-1842.85902237545,-2262.68910855129,-937.535580783762
-2957.09873840603,-4028.25170916487,4080.1097010496
-3403.74489856223,-4013.07197165803,-4024.44102447742
-3477.9024015447,-539.990915338504,269.997026244971
-3051.86907793065,-3726.31167480155,-220.009212959164
-1136.48576879498,-3251.23992689051,-909.346550295275
-3064.99376678937,-3445.2491194506,-817.752309061515
-1296.39293705433,-544.587260835758,3821.61080121073
-1952.21256355269,148.897971568059,3715.77168678109
-4193.73371013477,-2022.79385410491,-4369.53273436392
-3995.73616419977,-2209.34600138377,3386.92990346057
-1386.52055894232,-3296.09996253492,2900.10227380758
-1780.69058860293,-1643.08063301096,-2771.82605077521
-1037.62963183377,-1563.14982673259,981.243942181346
-2354.47254035077,51.3673451435429,-675.743671616226
-2413.6764685915,-2347.43049850611,-939.89490181865
-4085.87573408055,-1200.84449151643,5000
-4599.65698133606,-1583.8638820847,2730.79813773728
-4262.20940972175,-903.476370917789,5000
-3038.77279122151,-908.420118048348,4797.51561919305
-859.593581892434,-464.39271979464,-3300.67349476013
-3841.2940835211,-642.904872072403,-3919.37008726385
-3464.03861965299,-1273.96671209501,-218.561818589242
-4188.73500491925,-770.048269359104,2601.05951025203
-2327.24705257705,-763.909003116404,-1950.45099072288
-3941.26413545687,-1135.38813308892,1827.14762813308
-3516.89101459389,-899.92465203099,2440.27368559865
-3411.10095297855,-424.909542548987,5000
-673.118996697684,-2802.85269639203,-2157.83239774665
-1347.73176400929,-169.264629335002,3420.55206799234
-4379.75247074549,-1271.17341410157,934.480040778632
-463.63770658839,124.771338411342,4513.20773858641
-2688.10956364959,-2232.55516649171,-2354.21718604344
-2660.91141296876,-61.3227277094073,-3300.85596774969
-2248.85280868866,1511.80528368367,-1705.40359744172
-4554.82293054323,156.107720828442,-5000
-1243.59092220063,1068.96624807133,1309.39443422368
-3168.03348944253,304.854789176287,-452.564454844165
-1191.75117865526,518.842460481699,-1001.89852117701
-3939.3627919814,3784.94787024668,-848.530426292623
-1140.56253982493,30.9393602218937,3260.29982847812
-2314.34446694224,992.637982139226,1146.10089740263
-68.3151146029868,637.107139705193,-3979.21483066616
-1712.1759605972,2828.3771307533,-3353.05775855939
-2378.37015958896,3020.94096491727,1117.71913924
-4278.74995388142,479.023569555252,2797.94365905574
-1321.90725800691,3096.10853520288,-1973.78722751036
-1426.58171239957,-365.593857143029,378.317336970383
-4303.035218537,1847.3209924815,-827.154160731464
-2619.29098444703,4561.01415799683,4115.29691397877
-2625.59151327081,3326.08016801863,-1178.90185466049
-2038.66394048171,1713.47815093003,-954.593023176349
-967.459659485311,312.620083606072,5000
-4360.93868271287,2198.50476408577,-4544.80591895259
-2642.21389292369,3910.39189723333,4313.9614353286
-2620.55874300038,2573.00278259517,-5000
-685.553343817277,2637.72908546581,233.884409242303
-4106.5715338784,2850.17217161023,3962.38128470717
-2603.65870441669,1039.7209558079,944.056882182582
-4482.53829449633,3883.67840956613,2963.6904047954
