X,Y,Z
-5000,-123.595139885209,-413.21077078022
-5000,260.638630130799,-45.5355334223004
-5000,273.505296679324,-144.677940130256
-4192.3186063671,261.813019412782,-199.977019550071
-2777.97743793496,-159.004834417892,-249.729794262883
-2262.03951829238,-250.253829283375,441.667836947413
-843.854487636523,-277.554922291578,-500
577.038075568308,-500,-306.636481677966
1066.9641376733,105.066056981001,-242.602515764394
2330.73253512306,75.6211298477722,-262.64252357348
2656.52072494725,-500,434.928592307143
3660.68808804375,-338.712686789317,-500
